cube 	 images/b12-a26-c2-1522942074039_27.png 	 markable_2
square 	 images/b12-a26-c2-1522942074039_52.png 	 markable_73
all red blocks 	 images/b12-a26-c2-1522942074039_80.png 	 markable_85
whole resulting structure 	 images/b15-a38-c12-1523399104809_57.png 	 markable_53
target_structure 	 images/b1-a44-c20-1523036364610_2.png 	 markable_0
all red blocks seen 	 images/b16-a26-c94-1524155062504_21.png 	 markable_10
target_structure 	 images/b1-a4-c37-1522773058751_2.png 	 markable_0
gap 	 images/b1-a4-c37-1522773058751_55.png 	 markable_22
s111 	 images/b1-a3-c2-1522434666266_157.png 	 markable_164
the_ground 	 images/b1-a3-c2-1522434666266_3.png 	 markable_4
s12 	 images/b1-a3-c2-1522434666266_19.png 	 markable_6
this_time 	 images/b1-a3-c2-1522434666266_1.png 	 markable_116
middle_of_surface 	 images/b1-a3-c2-1522434666266_5.png 	 markable_33
s82 	 images/b1-a3-c2-1522434666266_114.png 	 markable_139
s69 	 images/b1-a3-c2-1522434666266_99.png 	 markable_134
s90 	 images/b1-a3-c2-1522434666266_127.png 	 markable_153
bottom layer 	 images/b11-a7-c69-1522855627706_103.png 	 markable_48
whole red block structure 	 images/b1-a44-c48-1523037288443_55.png 	 markable_109
corners 	 images/b15-a38-c4-1523398777481_34.png 	 markable_37
target_structure 	 images/b1-a4-c36-1522772574085_2.png 	 markable_73
one of the blue blocks 	 images/b1-a4-c36-1522772574085_76.png 	 markable_33
edges 	 images/b1-a4-c36-1522772574085_5.png 	 markable_4
cataphoric ref to resulting structure? 	 images/b1-a4-c36-1522772574085_6.png 	 markable_6
cataphora to result? 	 images/b1-a4-c36-1522772574085_28.png 	 markable_16
architect builder 	 images/b1-a3-c1-1522435497386_1.png 	 markable_0
now 	 images/b1-a3-c1-1522435497386_56.png 	 markable_50
ground of scene 	 images/b1-a3-c1-1522435497386_21.png 	 markable_35
axis 	 images/b1-a3-c1-1522435497386_3.png 	 markable_26
e, unseen 	 images/b1-a3-c1-1522435497386_35.png 	 markable_97
-5,0,0 	 images/b1-a3-c1-1522435497386_4.png 	 markable_85
